event,set,date,latDegreeStart,latMinuteStart,longDegreeStart,longMinuteStart,latDegreeEnd,latMinuteEnd,longDegreeEnd,longMinuteEnd,time,lines,depthBow,depthStern,predators,gear,chinookTagged,seaState,light,notes
CT2019_189,189,23/8/2019,48,35.392,125,40.563,48,34.378,125,41.982,1000,2,28,NA,N,spoons and flashers,Y,0,overcast,
CT2019_190,190,23/8/2019,48,34.378,125,41.982,48,33.372,125,44.013,1030,2,30,NA,N,spoons and flashers,N,0,overcast,
CT2019_191,191,23/8/2019,48,33.372,125,44.013,48,32.904,125,45.669,1100,2,30,NA,N,spoons and flashers,Y,0,sunny,
CT2019_192,192,23/8/2019,48,32.904,125,45.669,48,32.544,125,47.801,1130,2,30,NA,N,spoons and flashers,Y,0,overcast,
CT2019_193,193,23/8/2019,48,32.544,125,47.801,48,32.171,125,49.789,1200,2,31,NA,N,spoons and flashers,Y,0,overcast,average of two lines (30 and 32)
CT2019_194,194,23/8/2019,48,32.171,125,49.789,48,31.717,125,51.355,1230,2,32.5,NA,N,spoons and flashers,N,0,overcast,average of two lines (30 and 35)
CT2019_195,195,23/8/2019,48,31.717,125,51.355,48,31.137,125,53.840,1300,2,32.5,NA,N,spoons and flashers,Y,0,overcast,average of two lines (30 and 35)
CT2019_196,196,23/8/2019,48,31.137,125,53.840,48,31.695,125,54.109,1330,2,32.5,NA,N,spoons and flashers,Y,0,overcast,average of two lines (30 and 35)
CT2019_197,197,23/8/2019,48,31.695,125,54.109,48,32.019,125,52.923,1400,2,32.5,NA,N,spoons and flashers,Y,0,overcast,average of two lines (30 and 35)
CT2019_198,198,23/8/2019,48,32.019,125,52.923,48,32.478,125,51.810,1430,2,32.5,NA,N,spoons and flashers,Y,0,overcast,average of two lines (30 and 35)
CT2019_199,199,23/8/2019,48,32.478,125,51.810,48,33.010,125,49.811,1500,2,32.5,NA,N,spoons and flashers,N,0,overcast,average of two lines (30 and 35)
CT2019_200,200,23/8/2019,48,33.010,125,49.811,48,33.776,125,48.438,1530,2,32.5,NA,N,spoons and flashers,N,0,overcast,average of two lines (30 and 35)
CT2019_201,201,23/8/2019,48,33.776,125,48.438,48,35.543,125,48.176,1600,2,32.5,NA,N,spoons and flashers,Y,0,overcast,average of two lines (30 and 35)
CT2019_202,202,23/8/2019,48,35.543,125,48.176,48,36.642,125,48.020,1630,2,31,NA,N,spoons and flashers,N,0,overcast,average of two lines (30 and 32)
CT2019_203,203,23/8/2019,48,36.642,125,48.020,48,38.080,125,47.994,1700,2,31,NA,N,spoons and flashers,Y,0,partly sunny,average of two lines (30 and 32)
CT2019_204,204,23/8/2019,48,38.080,125,47.994,48,39.476,125,48.053,1730,2,31,NA,N,spoons and flashers,Y,0,overcast,average of two lines (30 and 32); STOP at 1800 48 39.476 and 125 48.053
CT2019_205,205,24/8/2019,48,39.982,125,49.087,48,39.143,125,49.407,0630,2,29,NA,N,spoons and flashers,Y,0.25,partly sunny,average of two lines (28 and 30)
CT2019_206,206,24/8/2019,48,39.143,125,49.407,48,39.126,125,48.654,0700,2,29,NA,N,spoons and flashers,Y,0.25,partly sunny,average of two lines (28 and 30)
CT2019_207,207,24/8/2019,48,39.126,125,48.654,48,40.049,125,46.994,0730,2,29,NA,N,spoons and flashers,N,0.25,partly sunny,average of two lines (28 and 30)
CT2019_208,208,24/8/2019,48,40.049,125,46.994,48,41.452,125,46.626,0800,2,29,NA,N,spoons and flashers,Y,0.25,partly sunny,average of two lines (28 and 30)
CT2019_209,209,24/8/2019,48,41.452,125,46.626,48,42.558,125,47.533,0830,2,29,NA,N,spoons and flashers,Y,0.25,partly sunny,average of two lines (28 and 30)
CT2019_210,210,24/8/2019,48,42.558,125,47.533,48,43.061,125,49.161,0900,2,29,NA,N,spoons and flashers,Y,0.25,partly sunny,average of two lines (28 and 30)
CT2019_211,211,24/8/2019,48,43.061,125,49.161,48,43.795,125,50.890,0930,2,29,NA,N,spoons and flashers,Y,0.25,partly sunny,average of two lines (28 and 30)
CT2019_212,212,24/8/2019,48,43.795,125,50.890,48,44.894,125,50.951,1000,2,29,NA,N,spoons and flashers,Y,0,cloudy,average of two lines (28 and 30)
CT2019_213,213,24/8/2019,48,44.894,125,50.951,48,45.290,125,48.950,1030,2,29,NA,N,spoons and flashers,Y,0,partly sunny,average of two lines (28 and 30)
CT2019_214,214,24/8/2019,48,45.290,125,48.950,48,45.479,125,47.255,1100,2,29,NA,N,spoons and flashers,Y,0,partly sunny,average of two lines (28 and 30)
CT2019_215,215,24/8/2019,48,45.479,125,47.255,48,46.484,125,44.600,1130,2,28,NA,N,spoons and flashers,Y,0,sunny,
CT2019_216,216,24/8/2019,48,46.484,125,44.600,48,47.432,125,43.084,1200,2,27,NA,N,spoons and flashers,N,0,sunny,average of two lines (28 and 26)
CT2019_217,217,24/8/2019,48,47.432,125,43.084,48,47.796,125,41.040,1230,2,27,NA,sea lion,spoons and flashers,N,0,partly sunny,average of two lines (28 and 26); sea lion stole fish
CT2019_218,218,24/8/2019,48,47.796,125,41.040,48,47.545,125,38.117,1300,2,27,NA,N,spoons and flashers,N,0,partly sunny,average of two lines (28 and 26)
CT2019_219,219,24/8/2019,48,47.545,125,38.117,48,47.733,125,36.243,1330,2,27,NA,sea lion,spoons and flashers,Y,0,partly sunny,average of two lines (28 and 26); sea lion stole fish
CT2019_220,220,24/8/2019,48,47.733,125,36.243,48,48.673,125,34.551,1400,2,27,NA,sea lion,spoons and flashers,N,0,partly sunny,average of two lines (28 and 26); sea lion stole fish; STOP at 1430 48 48.673 and 125 34.551
